KEY_FIG_ID;KEY_FIG_DESC;DISPLAY_ORDER;PRIORITY_ORDER;KEY_DIFFERENCE;KEY_FIG_DESCRIPTION
1;Statistical Forecast %;1;1;P;Based on sales history or seed order history, VC Planner generates Statistical Option % using multiple forecasting models.
2;Derived characteristics %;2;2;P;Derived Characteristics %
3;Manual Option %;3;3;P;Planners can utilize this Key Figure to override the Option % generated by the BTP system. The value maintained in this key figure will be considered as input for the Option %
51;Statistical Forecast Qty;51;51;Q;Based no Statistical Forecast % generated in VC Planner BTP,system auto populates the Statistical Forecast Qty at Location Product Customer Class Char Charval level
52;Derived Characteristic Qty;52;52;C;Derived Characteristic Qty
101;Actual Demand % at VC;101;101;C;Sales Order Quantity at Location Product Customer Class Char Charval level | Source of Data: S4 VC Planner Extractor
102;Forecast Order % at VC;102;102;C;Forecast Order Percentage per each Characteristic Value
103;Unconsumed Qty % at VC;103;103;C;Unconsumed Quantity Percentage per each Characteristic Value
151;Actual Demand Qty at VC;151;151;C;Sales Order Quantity at Location Product Customer Class Char Charval level | Source of Data: S4 VC Planner Extractor
152;Forecast Order Qty at VC;152;152;C;Forecast Order Quantity at Characteristic Level
153;Unconsumed Qty at VC;153;153;C;Unconsumed Quantity at Characteristic Level
994;Unconsumed Quantity;994;994;C;Difference between Product Demand and Actual Demand
995;Forecast Order Qty;995;995;C;Forecast Order Quantity
996;Actual Demand Prior Year;996;996;C;Prior year sales order quantity at Location Product Customer level | Source of Data: S4 VC Planner Extractor
997;Product Demand;997;997;C;Statistical forecast that generated in IBP and imported to BTP at Product Location Customer Level | Source of Data: IBP
998;Actual Demand;998;998;C;Sales Order Quantity at Location Product Customer level | Source of Data: S4 VC Planner Extractor
1000;Option Percentage;1000;1000;C;
1001;Effective Option Percentage;1001;1001;C;
