METHOD;PARA_NAME;DATATYPE;DEFAULTVAL;INTVAL;DOUBLEVAL;STRVAL;DESCRIPTION;DEPENDENCY
HGBT;THREAD_RATIO;DOUBLE;-1;;-1;;The ratio of available threads.\n0: single thread0~1: percentageOthers: heuristically determined;
HGBT;SEED;INTEGER;0;0;;;The seed for random number generating.\n0: current timeOthers: the seed;
HGBT;SPLIT_METHOD;VARCHAR or NVARCHAR;exact;;;exact;The method to find split point for numeric feature.\nexact: the exact method, trying all possible pointssketch: the sketch method, accounting for the distribution of the sum of hessiansampling: samples the split point randomlyhistogram:builds histogram upon data and uses it as split point;The exact method comparably has the highest test accuracy, but costs more time. The other three methods have relative higher computational efficiency but might lead to lower test accuracy, and are considered to be adopted as the training data set is Valid only for numeric features.huge.
HGBT;SKETCH_EPS;DOUBLE;0.1;;0.1;;The epsilon of the sketch method. It indicates that the sum of hessian between two split points is not larger than this value. That is, the number of bins is approximately 1/eps.;The less is this value, the more split points are tried.
HGBT;MAX_BIN_NUM;INTEGER;256;256;;;The maximum bin number for histogram method. Decreasing this number gains better performance in terms of running time at a cost of accuracy.;Only valid when SPLIT_METHOD is set to histogram.
HGBT;ITER_NUM;INTEGER;10;10;;;Total iteration number, which is equivalent to the number of trees in the final model.;
HGBT;MAX_DEPTH;INTEGER;6;6;;;The maximum depth of each tree.;
HGBT;NODE_SIZE;INTEGER;1;1;;;The minimum number of data in a leaf.;
HGBT;ETA;DOUBLE;0.3;;0.3;;Learning rate of each iteration. Range: (0, 1];
HGBT;GAMMA;DOUBLE;0;;0;;The minimum loss change value to make a split in tree growth (gamma in the equation).;
HGBT;MIN_CHILD_HESSIAN;DOUBLE;1;;1;;The minimum summation of sample weights (hessian) in the leaf node.;
HGBT;NODE_WEIGHT_CONSTRAINT;DOUBLE;0;;0;;The maximum weight constraint assigned to each tree node. 0 for no constraint.;
HGBT;ROW_SAMPLE_RATE;DOUBLE;1;;1;;The sample rate of row (data points).\nRange: (0, 1];
HGBT;COL_SAMPLE_RATE_BYSPLIT;DOUBLE;1;;1;;The sample rate of feature set in each split.\nRange: (0, 1];
HGBT;COL_SAMPLE_RATE_BYTREE;DOUBLE;1;;1;;The sample rate of feature set in each tree growth. \nRange: (0, 1];
HGBT;LAMBDA;DOUBLE;1;;1;;L2 regularization.\nRange: [0, 1];
HGBT;ALPHA;DOUBLE;0;;0;;L1 regularization.\nRange: [0, 1];
