PROFILE;TYPE;METHOD;PRF_DESC;CREATED_DATE;CREATED_BY
SBP_HGBT_0;P;HGBT;HGBT Profile 0;2023-01-01;SBP
SBP_HGBT_1;P;HGBT;HGBT Profile 1;2023-01-01;SBP
SBP_HGBT_2;P;HGBT;HGBT Profile 2;2023-01-01;SBP
SBP_RDT_0;P;RDT;RDT;2023-01-01;SBP
SBP_MLR_0;P;MLR;MLR 0;2023-01-01;SBP
SBP_MLR_1;P;MLR;MLR 1;2023-01-01;SBP
SBP_MLR_2;P;MLR;MLR 2;2023-01-01;SBP
SBP_VARMA_0;P;VARMA;VARMA 0;2023-01-01;SBP
SBP_VARMA_1;P;VARMA;VARMA 1;2023-01-01;SBP
SBP_VARMA_2;P;VARMA;VARMA 2;2023-01-01;SBP
SBP_AUTOML_1;P;AUTOML;AUTOML Profile 1;2023-01-01;SBP
SBP_AUTOML_2;P;AUTOML;AUTOML Profile 2;2023-01-01;SBP
SBP_AUTOML_3;P;AUTOML;AUTOML Profile 3;2023-01-01;SBP
SBP_AUTOML_4;P;AUTOML;AUTOML Profile 4;2023-01-01;SBP
SBP_AUTOML_5;P;AUTOML;AUTOML Profile 5;2023-01-01;SBP
SBP_AUTOML_6;P;AUTOML;AUTOML Profile 6;2023-01-01;SBP
SBP_MLR_4;P;MLR;MLR 1;2023-09-13; 
SBP_RDT_1;P;RDT;RDT;2024-09-09;SBP
SBP_AES_AUTO;F;AES;Auto Exponential Smoothing;2024-01-17;SBP
SBP_AES_SESM;F;AES;Single Exponential Smoothing;2024-01-17;SBP
SBP_AES_DESM;F;AES;Double Exponential Smoothing;2024-01-17;SBP
SBP_AHC_PI;C;AHC;Clustering Profile;2024-09-09;SBP
SBP_AUTOML_10;P;AUTOML;AUTOML Profile 10;2023-09-13;anonymous
SBP_AES_TESM_AUTO;F;AES;Triple Exponential Smoothing;2024-01-17;SBP
