PROFILE;METHOD;SUBMETHOD;PARA_NAME;TYPE;SUBMETHOD_PROFILE;INTVAL;DOUBLEVAL;STRVAL;PARA_DESC;PARA_DEP;CREATED_DATE;CREATED_BY
SBP_HGBT_1;HGBT;NA;RESAMPLING_METHOD;;;;;cv;Specifies the resampling method for model evaluation or parameter selection\ncv, \nbootstrap\nIf no value is specified for this parameter, neither model evaluation nor parameter selection is activated;;;
SBP_HGBT_1;HGBT;NA;EVALUATION_METRIC;;;;;RMSE;Specifies the evaluation metric for model evaluation or parameter selection.\nRMSE;;;
SBP_HGBT_1;HGBT;NA;SPLIT_METHOD;;;;;exact;The method to find split point for numeric feature.\n\nexact: the exact method, trying all possible points\n\nsketch: the sketch method, accounting for the distribution of the sum of hessian\n\nsampling: samples the split point randomly\n\nhistogram:builds histogram upon data and uses it as split point;;;
SBP_HGBT_1;HGBT;NA;MAX_DEPTH;;;6;;;The maximum depth of each tree.;;;
SBP_HGBT_1;HGBT;NA;FOLD_NUM;;;5;;;Specify fold number for cross validation method.;;;
SBP_HGBT_1;HGBT;NA;PARAM_SEARCH_STRATEGY;;;;;grid;Specify value to this parameter to active parameter selection.\ngrid\nrandom;;;
SBP_HGBT_1;HGBT;NA;ITER_NUM_RANGE;;;;;[10,10,20];Specifies range of parameter ITER_NUM to be selecte;;;
SBP_HGBT_1;HGBT;NA;GAMMA_RANGE;;;;;[0.0,0.2,1.0];Specifies range of parameter GAMMA to be selected;;;
SBP_HGBT_1;HGBT;NA;ETA_RANGE;;;;;[0.1,0.2,1.0];Specifies range of parameter ETA to be selected;;;
SBP_HGBT_1;HGBT;NA;SEED;;;1;;;The seed for random number generating\n0: current time\n\nOthers: the seed;;;
SBP_HGBT_1;HGBT;NA;REF_METRIC;;;;;MAE;The metric(s) for reference. Could be of multi-lines, for example, more than one REF_METRIC.;;;
SBP_HGBT_2;HGBT;NA;THREAD_RATIO;;;;-1;;The ratio of available threads.\n0: single thread\n0~1: percentage\nOthers: heuristically determined;;;
SBP_HGBT_2;HGBT;NA;MAX_DEPTH;;;20;;;The maximum depth of each tree.;;;
SBP_MLR_0;MLR;NA;REPEAT_TIMES;;;1;;;Specifies the number of repeat times for resampling.;;;
SBP_MLR_1;MLR;NA;EVALUATION_METRIC;;;;;RMSE;Specifies the evaluation metric for model evaluation or parameter selection.\nRMSE;;;
SBP_MLR_1;MLR;NA;PMML_EXPORT;;;0;;;0: Does not export multiple linear regression model in PMML\n2: Exports multiple linear regression model in PMML. The maximum length of each row is 5000 characters;;;
SBP_MLR_1;MLR;NA;ALG;;;6;;;Specifies algorithms for solving the least square problem:\n1: QR decomposition (numerically stable, but fails when A is rank-deficient)\n2: SVD (numerically stable and can handle rank deficiency but computationally expensive)\n4: Cyclical coordinate descent method to solve elastic net regularized multiple linear regression\n5: Cholesky decomposition (fast but numerically unstable)\n6: Alternating direction method of multipliers (ADMM) to solve elastic net regularized multiple linear regression. This method is faster than the cyclical coordinate descent method in many cases and recommended.;;;
SBP_MLR_1;MLR;NA;ENET_LAMBDA;;;;0.003194;;Penalized weight. The value should be equal to or greater than 0.;;;
SBP_MLR_1;MLR;NA;ENET_ALPHA;;;;0.95;;The elastic net mixing parameter. The value range is between 0 and 1 inclusively\n0: Ridge penalty\n1: LASSO penalty;;;
SBP_MLR_1;MLR;NA;HAS_ID;;;1;;;Specifies whether the input data table has an ID column. If it exists, the ID column must be the first column.\n0: No ID column\n1: Has an ID column;;;
SBP_MLR_1;MLR;NA;RESAMPLING_METHOD;;;;;cv;Specifies the resampling method for model evaluation or parameter selection\ncv, \nbootstrap\nIf no value is specified for this parameter, neither model evaluation nor parameter selection is activated;;;
SBP_MLR_1;MLR;NA;FOLD_NUM;;;2;;;Specifies the fold number for a cross validation method.;;;
SBP_MLR_2;MLR;NA;PMML_EXPORT;;;2;;;0: Does not export multiple linear regression model in PMML\n2: Exports multiple linear regression model in PMML. The maximum length of each row is 5000 characters;;;
SBP_MLR_2;MLR;NA;ALG;;;6;;;Specifies algorithms for solving the least square problem:\n1: QR decomposition (numerically stable, but fails when A is rank-deficient)\n2: SVD (numerically stable and can handle rank deficiency but computationally expensive)\n4: Cyclical coordinate descent method to solve elastic net regularized multiple linear regression\n5: Cholesky decomposition (fast but numerically unstable)\n6: Alternating direction method of multipliers (ADMM) to solve elastic net regularized multiple linear regression. This method is faster than the cyclical coordinate descent method in many cases and recommended.;;;
SBP_MLR_2;MLR;NA;ENET_LAMBDA;;;;0.003194;;Penalized weight. The value should be equal to or greater than 0.;;;
