PARAMETER_ID;GROUP_ID;SEQUENCE;DESCRIPTION;MIN_VALUE;MAX_VALUE;VALUE_HELP;VALUE_HELP_TAB
1;1;1;Frozen Horizon;0;12;false;NA
9;1;2;Firm Horizon;0;12;false;NA
16;1;3;Dynamic Frozen Horizon;1;9999;false;NA
17;1;4;Dynamic Firm Horizon;1;9999;false;NA
2;1;5;Forecast Order Horizon;0;156;false;NA
3;1;6;Assembly Requirements Horizon;0;156;false;NA
4;1;7;History Consideration;0;260;false;NA
11;1;8;IBP History;0;260;false;NA
5;2;1;Execution;0;0;true;Method_Types
6;3;1;Seed Order Series;1;9999;false;NA
7;3;2;Seed Order Prefix;0;0;false;NA
8;4;1;IBP Planning Area;0;0;false;NA 
10;4;2;IBP Prefix;0;0;false;NA
12;1;9;Fully Configured Horizon;0;104;false;NA  
13;1;10;Components Horizon;0;104;false;NA
14;2;2;Generate Unique ID Validity by Rules;0;0;false;NA
19;2;3;PVS Node Configuration;0;0;false;NA
20;4;3;IBP Default Version;0;0;false;NA
21;4;4;IBP Default Scenario;0;0;false;NA
22;5;1;Telescopic Week;0;0;false;NA
23;5;2;Telescopic Month;0;0;false;NA
24;5;3;Telescopic Quarter;0;0;false;NA
25;2;4;Intermediate Assembly;0;0;false;NA
26;2;5;PIR Plan Req;0;0;false;NA
