ACTIVITY_ID;ACTIVITY_DESC;ACTION_URL;LEVEL;PREREQUISITE;PREREQCONDITION;CREATED_DATE;CREATED_BY;CREATED_TIME;CHANGED_DATE;CHANGED_BY;CHANGED_TIME
DYNAMIC_FROZEN;DYNAMIC_FROZEN;/catalog/genDynamicFrozenFirmHorizon;I;;;2023-09-29;;10:02:52;;;
TIMES_SERIES_HISTORY;TIMES_SERIES_HISTORY;/catalog/generateTimeseries;E;;;2023-09-29;;11:21:55;;;
EXPORT_IBP_ASSEMBLY;EXPORT_IBP_ASSEMBLY;/ibpimport-srv/exportIBPAssembly;E;;;2023-09-29;;10:36:10;;;
EXPORT_IBP_ASSEMBLY_COMPONENT;EXPORT_IBP_ASSEMBLY_COMPONENT;/ibpimport-srv/exportIBPAssemblyComp;E;;;2023-09-29;;10:39:35;;;
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;/ibpimport-srv/exportComponentReq;E;;;2023-09-29;;10:41:54;;;
EXPORT_IBP_CLASS;EXPORT_IBP_CLASS;/ibpimport-srv/exportIBPClass;E;;;2023-09-29;;10:42:27;;;
EXPORT_IBP_CUSTOMERGROUP;EXPORT_IBP_CUSTOMERGROUP;/ibpimport-srv/exportIBPCustomer;E;;;2023-09-29;;10:43:05;;;
EXPORT_IBP_DERIVED_CHARACTERISTICS;EXPORT_IBP_DERIVED_CHARACTERISTICS;/ibpimport-srv/generateDCFCharPlan;E;;;2023-09-29;;10:44:47;;;
EXPORT_IBP_ACTUAL_COMPONENTS_DEMAND;EXPORT_IBP_ACTUAL_COMPONENTS_DEMAND;/ibpimport-srv/exportActCompDemand;E;;;2023-09-29;;10:35:02;;;
EXPORT_IBP_FORECAST_DEMAND;EXPORT_IBP_FORECAST_DEMAND;/ibpimport-srv/exportIBPCIR;E;;;2023-09-29;;10:46:17;;;
EXPORT_IBP_LOCATION;EXPORT_IBP_LOCATION;/ibpimport-srv/exportIBPLocation;E;;;2023-09-29;;10:47:09;;;
EXPORT_IBP_LOCATION_PRODUCT;EXPORT_IBP_LOCATION_PRODUCT;/ibpimport-srv/exportIBPLocProd;E;;;2023-09-29;;10:47:51;;;
EXPORT_IBP_PRODUCT;EXPORT_IBP_PRODUCT;/ibpimport-srv/exportIBPMasterProd;E;;;2023-09-29;;10:48:58;;;
