ACTIVITY_ID;PARAMETER_ID;OPTION_SELECT;MANDATORY;LEVEL
EXPORT_IBP_ASSEMBLY;MF_LOCATION;S;Y;E
EXPORT_IBP_ASSEMBLY;CONFIG_PRODUCT;M;N;E
EXPORT_IBP_ASSEMBLY_COMPONENT;MF_LOCATION;S;Y;E
EXPORT_IBP_DERIVED_CHARACTERISTICS;PARTIAL_PRODUCT;M;N;E
EXPORT_IBP_SEEDORDER;PARTIAL_PRODUCT;M;N;E
PREDICTION;GEN_TYPE;O;N;E
PREDICTION;IMPACT_ANALYSIS;C;N;E
PREDICTION;Optimization;C;N;E
PREDICTION;POptProfile;O;N;E
PREDICTION;MODEL_VERSION;O;N;E
PREDICTION;PARTIAL_PRODUCT;M;Y;E
PREDICTION;SCENARIO;S;Y;E
PREDICTION;VERSION;S;Y;E
TIMES_SERIES_HISTORY;DAILY;C;N;E
TIMES_SERIES_HISTORY;PARTIAL_PRODUCT;M;N;E
PROCESS_SALES_ORDERS;CONFIG_PRODUCT;M;N;E
PROCESS_SALES_ORDERS;DM_LOCATION;M;Y;E
PROCESS_SALES_ORDERS;MF_LOCATION;S;Y;E
PREDICTION;DM_LOCATION;M;Y;E
PREDICTION;MF_LOCATION;S;Y;E
EXPORT_IBP_DERIVED_CHARACTERISTICS;DM_LOCATION;M;Y;E
EXPORT_IBP_DERIVED_CHARACTERISTICS;MF_LOCATION;S;Y;E
EXPORT_IBP_SEEDORDER;MF_LOCATION;S;Y;E
EXPORT_IBP_SEEDORDER;DM_LOCATION;M;Y;E
TIMES_SERIES_HISTORY;DM_LOCATION;M;Y;E
TIMES_SERIES_HISTORY;MF_LOCATION;S;Y;E
PUBLISH_FORECAST_ORDERS;CONFIG_PRODUCT;M;Y;E
PUBLISH_FORECAST_ORDERS;DATE_RANGE;D;N;E
PUBLISH_FORECAST_ORDERS;MF_LOCATION;S;Y;E
PUBLISH_FORECAST_ORDERS;MODEL_VERSION;O;N;E
PUBLISH_FORECAST_ORDERS;Rolling_Timestamp;C;N;E
PUBLISH_FORECAST_ORDERS;SCENARIO;S;Y;E
PUBLISH_FORECAST_ORDERS;SnapShot;C;N;E
PUBLISH_FORECAST_ORDERS;VERSION;S;Y;E
EXPORT_IBP_SALES_HISTORY;PARTIAL_PRODUCT;M;N;E
EXPORT_IBP_SALES_HISTORY;DM_LOCATION;M;Y;E
EXPORT_IBP_SALES_HISTORY;MF_LOCATION;S;Y;E
IMPORT_IBP_DEMAND_FUTURE;DM_LOCATION;M;Y;E
IMPORT_IBP_DEMAND_FUTURE;MF_LOCATION;S;Y;E
IMPORT_IBP_DEMAND_FUTURE;PARTIAL_PRODUCT;M;Y;E
IMPORT_IBP_DEMAND_FUTURE;SCENARIO;S;Y;E
IMPORT_IBP_DEMAND_FUTURE;VERSION;S;Y;E
EXPORT_IBP_FORECAST_DEMAND;DM_LOCATION;M;Y;E
EXPORT_IBP_FORECAST_DEMAND;MF_LOCATION;S;Y;E
EXPORT_IBP_FORECAST_DEMAND;PARTIAL_PRODUCT;M;Y;E
EXPORT_IBP_FORECAST_DEMAND;SCENARIO;S;Y;E
EXPORT_IBP_FORECAST_DEMAND;VERSION;S;Y;E
GENERATE_ASSEMBLY_REQUIREMENTS;CONFIG_PRODUCT;M;Y;E
GENERATE_ASSEMBLY_REQUIREMENTS;DM_LOCATION;M;Y;E
GENERATE_ASSEMBLY_REQUIREMENTS;MF_LOCATION;S;Y;E
GENERATE_ASSEMBLY_REQUIREMENTS;SCENARIO;S;Y;E
GENERATE_ASSEMBLY_REQUIREMENTS;VERSION;S;Y;E
OPTION_LEVEL_MASTER;CLASS;M;Y;E
OPTION_LEVEL_MASTER;CONFIG_PRODUCT;M;Y;E
OPTION_LEVEL_MASTER;DM_LOCATION;M;Y;E
OPTION_LEVEL_MASTER;MF_LOCATION;S;Y;E
GENERATE_SEEDORDER;CONFIG_PRODUCT;M;Y;E
GENERATE_SEEDORDER;CUSTOMER_GROUP;S;Y;E
GENERATE_SEEDORDER;DATE_RANGE;D;N;E
GENERATE_SEEDORDER;DM_LOCATION;M;Y;E
GENERATE_SEEDORDER;MF_LOCATION;S;Y;E
TIME_SERIES_FUTURE;DM_LOCATION;M;Y;E
TIME_SERIES_FUTURE;MF_LOCATION;S;Y;E
TIME_SERIES_FUTURE;PARTIAL_PRODUCT;M;Y;E
TIME_SERIES_FUTURE;SCENARIO;S;Y;E
TIME_SERIES_FUTURE;VERSION;S;Y;E
TIME_SERIES_FUTURE;MODEL_VERSION;S;Y;E
MODEL_GENERATION;DM_LOCATION;M;Y;E
MODEL_GENERATION;GEN_TYPE;O;N;E
MODEL_GENERATION;MF_LOCATION;S;Y;E
MODEL_GENERATION;MODEL_VERSION;O;N;E
MODEL_GENERATION;PARTIAL_PRODUCT;M;Y;E
MODEL_GENERATION;PREDICTION_PROFILE;S;N;E
GENERATE_FORECAST_ORDER;DM_LOCATION;M;Y;E
GENERATE_FORECAST_ORDER;MF_LOCATION;S;Y;E
GENERATE_FORECAST_ORDER;MODEL_VERSION;O;N;E
GENERATE_FORECAST_ORDER;PARTIAL_PRODUCT;M;Y;E
GENERATE_FORECAST_ORDER;SCENARIO;S;Y;E
GENERATE_FORECAST_ORDER;VERSION;S;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;CONFIG_PRODUCT;M;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;DATE_RANGE;D;N;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;DM_LOCATION;M;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;MF_LOCATION;S;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;SCENARIO;S;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;VERSION;S;Y;E
EXPORT_IBP_ASSEMBLY_REQ_QUANTITY;Rolling_Timestamp;C;N;E
