PARAMETER_ID;PARAM_DESC;BASE_URL;CREATED_DATE;CREATED_BY;CREATED_TIME;CHANGED_DATE;CHANGED_BY;CHANGED_TIME
MF_LOCATION;MF_LOCATION;;;;;;;
DM_LOCATION;DM_LOCATION;;;;;;;
CONFIG_PRODUCT;CONFIG_PRODUCT;;;;;;;
PARTIAL_PRODUCT;PARTIAL_PRODUCT;;;;;;;
MODEL_VERSION;MODEL_VERSION;;;;;;;
PREDICTION_PROFILE;PREDICTION_PROFILE;;;;;;;
FORECAST_ALGORITHM;FORECAST_ALGORITHM;;;;;;;
VERSION;VERSION;;;;;;;
SCENARIO;SCENARIO;;;;;;;
DATE_RANGE;DATE_RANGE;;;;;;;
OVERRIDE_ASSIGNMENT;OVERRIDE_ASSIGNMENT;;;;;;;
CRITICAL_ASSEMBLY;CRITICAL_ASSEMBLY;;;;;;;
IMPACT_ANALYSIS;IMPACT_ANALYSIS;;;;;;;
OptAlgorithm;OptAlgorithm;;;;;;;
OptFactor;OptFactor;;;;;;;
DsAlgorithm;DsAlgorithm;;;;;;;
SnapShot;SnapShot;;;;;;;
Rolling_Timestamp;Rolling_Timestamp;;;;;;;
GEN_TYPE;GEN_TYPE;;;;;;;
DAILY;DAILY;;;;;;;
CUSTOMER_GROUP;CUSTOMER_GROUP;;;;;;;
CLASS;CLASS;;;;;;;
HISTORY_WEEKS;HISTORY_WEEKS;;;;;;;
FULL_RUN;FULL_RUN;;;;;;;
Optimization;Optimization;;;;;;;
POptProfile;POptProfile;;;;;;;
OptProfile;OptProfile;;;;;;;
